Enkät,Enkätkategori,Enkätkategori.1,Kursens ämnesinnehåll har gett mig möjlighet att uppnå kursens lärandemål.,"Kursens olika undervisnings- och arbetsformer har varit relevanta i relation till kursens lärandemål. Till undervisnings- och arbetsformer räknas till exempel föreläsningar, seminarier, laborationer, basgrupper, handledning, projekt och lektioner.",Kursens examinerande moment har varit relevanta i relation till kursens lärandemål.,Kursens pedagogiska genomförande har varit till stöd för mitt lärande.,"Anser du att kursens innehåll, genomförande och examination stämmer med kursplanen?",Vilket helhetsbetyg ger du kursen?,course_code
Anestesiologi under specifika förutsättningar (VFU) (8ANA05 2020-02-03 Jön 1102302),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,8ANA05
Anestesiologi under specifika förutsättningar (VFU) (8ANA05 2020-02-03 Lin 1102300),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,8ANA05
Animal Physiology (NBIC57 2020-10-26 Lin 989534),2020,HT,4.5,4.0,4.33,3.0,4.5,3.5,NBIC57
Anläggningsteknik (TNBJ02 2021-01-11 Nor 1099419),2020,HT,4.12,4.0,4.38,3.31,4.06,3.44,TNBJ02
Anthropological Perspectives on Children and Childhood (736A27 2020-11-23 Lin 1353810),2020,HT,3.78,3.56,3.89,3.67,4.11,3.44,736A27
Anthropological Perspectives on Children and Childhood (736A27 2020-11-23 Lin 933758),2020,HT,4.22,4.17,4.17,4.17,4.28,4.28,736A27
Användardriven produktutveckling (TDDE33 2020-06-01 Lin 985085),2020,VT,3.91,3.73,3.91,2.82,4.22,3.36,TDDE33
Användarperspektiv på digital design (725G87 2020-06-01 Lin 1266151),2020,VT,3.54,3.85,3.38,2.69,4.0,3.15,725G87
Användarupplevelse och interaktionsdesign (TDDE36 2020-06-01 Nor 985956),2020,VT,4.07,3.71,4.0,2.64,4.23,3.07,TDDE36
Användbarhetstestning (729A99 2020-03-23 Lin 1265681),2020,VT,3.75,3.5,4.25,3.5,4.33,3.5,729A99
Applied Behavioral Economics (Co-learning) (730A27 2020-10-19 Lin 1267931),2020,HT,4.38,4.11,4.44,4.11,4.5,3.89,730A27
Applied Chemistry (NKED24 2021-01-11 Lin 984871),2020,HT,4.5,4.5,4.5,4.25,4.5,4.5,NKED24
Applied Cognitive Science (729G81 2020-06-01 Lin 1265599),2020,VT,4.0,2.78,3.11,2.78,4.0,3.2,729G81
Applied Cognitive Science (729G82 2020-06-01 Lin 1266094),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,729G82
Applied Computational Fluid Dynamics (Co-learning) (TMMV59 2020-10-26 Lin 1099936),2020,HT,4.46,4.21,4.14,4.0,4.0,4.0,TMMV59
Applied Ethology (NBID71 2020-10-26 Lin 984777),2020,HT,4.63,4.79,4.67,4.53,4.72,4.63,NBID71
Applikationsspecifika integrerade kretsar (Samläsning) (TSTE87 2020-06-01 Lin 1086812),2020,VT,4.5,4.0,4.0,4.0,4.5,4.75,TSTE87
Arbete och hälsa (759G39 2020-03-23 Lin 829703),2020,VT,3.24,2.85,3.26,2.94,3.69,2.91,759G39
